Player,Span,Mat,Inns,NO,Runs,HS,HS-N/O?,Ave,Hundreds,Fifties,Ducks,Batting Style,Player Role
SR Tendulkar (INDIA),1989-2013,200,329,33,15921,248,Yes,53.78,51,68,14,R,top-order batsman
RT Ponting (AUS),1995-2012,168,287,29,13378,257,No,51.85,41,62,17,R,top-order batsman
JH Kallis (ICC/SA),1995-2013,166,280,40,13289,224,No,55.37,45,58,16,R,allrounder
R Dravid (ICC/INDIA),1996-2012,164,286,32,13288,270,No,52.31,36,63,8,R,top-order batsman
AN Cook (ENG),2006-2018,161,291,16,12472,294,No,45.35,33,57,9,L,opening batsman
KC Sangakkara (SL),2000-2015,134,233,17,12400,319,No,57.40,38,52,11,L,wicketkeeper batsman
BC Lara (ICC/WI),1990-2006,131,232,6,11953,400,Yes,52.88,34,48,17,L,batsman
S Chanderpaul (WI),1994-2015,164,280,49,11867,203,Yes,51.37,30,66,15,L,batsman
DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,No,49.84,34,50,15,R,batsman
SR Waugh (AUS),1986-2004,167,258,46,10909,200,No,51.45,32,50,22,R,middle-order batsman
Younis Khan (PAK),2000-2017,118,213,19,10099,313,No,52.05,34,33,19,R,middle-order batsman
HM Amla (SA),2004-2019,124,215,16,9282,311,Yes,46.64,28,41,13,R,top-order batsman
GC Smith (ICC/SA),2002-2014,117,205,13,9265,277,No,48.25,27,38,11,L,opening batsman
Inzamam-ul-Haq (ICC/PAK),1992-2007,120,200,22,8830,329,No,49.60,25,46,15,R,batsman
VVS Laxman (INDIA),1996-2012,134,225,34,8781,281,No,45.97,17,56,14,R,top-order batsman
AB de Villiers (SA),2004-2018,114,191,18,8765,278,Yes,50.66,22,46,8,R,wicketkeeper batsman
MJ Clarke (AUS),2004-2015,115,198,22,8643,329,Yes,49.10,28,27,9,R,middle-order batsman
ML Hayden (AUS),1994-2009,103,184,14,8625,380,No,50.73,30,29,14,L,opening batsman
V Sehwag (ICC/INDIA),2001-2013,104,180,6,8586,319,No,49.34,23,32,16,R,top-order batsman
AJ Stewart (ENG),1990-2003,133,235,21,8463,190,No,39.54,15,45,14,R,wicketkeeper batsman
KP Pietersen (ENG),2005-2014,104,181,8,8181,227,No,47.28,23,35,10,R,top-order batsman
ME Waugh (AUS),1991-2002,128,209,17,8029,153,Yes,41.81,20,47,19,R,allrounder
JE Root (ENG),2012-2020,95,175,13,7785,254,No,48.05,17,49,8,R,top-order batsman
MA Atherton (ENG),1989-2001,115,212,7,7728,185,Yes,37.69,16,46,20,R,opening batsman
IR Bell (ENG),2004-2015,118,205,24,7727,235,No,42.69,22,46,14,R,top-order batsman
JL Langer (AUS),1993-2007,105,182,12,7696,250,No,45.27,23,30,11,L,opening batsman
Mohammad Yousuf (PAK),1998-2010,90,156,12,7530,223,No,52.29,24,33,11,R,batsman
MA Taylor (AUS),1989-1999,104,186,13,7525,334,Yes,43.49,19,40,5,L,opening batsman
G Kirsten (SA),1993-2004,101,176,15,7289,275,No,45.27,21,34,13,L,
DA Warner (AUS),2011-2020,84,155,7,7244,335,Yes,48.94,24,30,9,L,opening batsman
V Kohli (INDIA),2011-2020,86,145,10,7240,254,Yes,53.62,27,22,10,R,top-order batsman
LRPL Taylor (NZ),2007-2020,101,178,21,7238,290,No,46.10,19,33,14,R,middle-order batsman
SPD Smith (AUS),2010-2020,73,131,16,7227,239,No,62.84,26,29,4,R,middle-order batsman
CH Gayle (WI),2000-2014,103,182,11,7214,333,No,42.18,15,37,15,L,allrounder
SC Ganguly (INDIA),1996-2008,113,188,17,7212,239,No,42.17,16,35,13,L,batsman
SP Fleming (NZ),1994-2008,111,189,10,7172,274,Yes,40.06,9,46,16,L,top-order batsman
AJ Strauss (ENG),2004-2012,100,178,6,7037,177,No,40.91,21,27,15,L,opening batsman
ST Jayasuriya (SL),1991-2007,110,188,14,6973,340,No,40.07,14,31,15,L,allrounder
DC Boon (AUS),1986-1996,95,168,19,6824,200,No,45.79,20,28,15,R,top-order batsman
GP Thorpe (ENG),1993-2005,100,179,28,6744,200,Yes,44.66,16,39,12,L,
KS Williamson (NZ),2010-2020,80,140,13,6476,242,Yes,50.99,21,32,9,R,top-order batsman
BB McCullum (NZ),2004-2016,101,176,9,6453,302,No,38.64,12,31,14,R,wicketkeeper batsman
MEK Hussey (AUS),2005-2013,79,137,16,6235,195,No,51.52,19,29,12,L,middle-order batsman
HH Gibbs (SA),1996-2008,90,154,7,6167,228,No,41.95,14,26,11,R,
AD Mathews (SL),2009-2020,86,154,22,5981,200,Yes,45.31,10,35,2,R,allrounder
Azhar Ali (PAK),2010-2020,79,149,8,5937,302,Yes,42.10,16,31,15,R,top-order batsman
PA de Silva (SL),1986-2002,86,146,10,5924,267,No,43.55,18,21,7,R,
GA Gooch (ENG),1986-1995,70,131,2,5873,333,No,45.52,15,29,8,R,top-order batsman
RR Sarwan (WI),2000-2011,87,154,8,5842,291,No,40.01,15,31,12,R,batsman
CA Pujara (INDIA),2010-2020,77,128,8,5840,206,Yes,48.66,18,25,7,R,top-order batsman
ME Trescothick (ENG),2000-2006,76,143,10,5825,219,No,43.79,14,29,12,L,opening batsman
N Hussain (ENG),1990-2004,96,171,16,5764,207,No,37.18,14,33,14,R,top-order batsman
CL Hooper (WI),1987-2002,102,173,15,5762,233,No,36.46,13,27,13,R,
MP Vaughan (ENG),1999-2008,82,147,9,5719,197,No,41.44,18,18,9,R,
M Azharuddin (INDIA),1986-2000,91,134,8,5610,199,No,44.52,19,20,4,R,middle-order batsman
AC Gilchrist (AUS),1999-2008,96,137,20,5570,204,Yes,47.60,17,26,14,L,wicketkeeper batsman
MV Boucher (ICC/SA),1997-2012,147,206,24,5515,125,No,30.30,5,35,17,R,wicketkeeper batsman
MS Atapattu (SL),1990-2007,90,156,15,5502,249,No,39.02,16,17,22,R,batsman
TM Dilshan (SL),1999-2013,87,145,11,5492,193,No,40.98,16,23,14,R,allrounder
TT Samaraweera (SL),2001-2013,81,132,20,5462,231,No,48.76,14,30,11,R,batsman
AR Border (AUS),1986-1994,79,129,21,5340,205,No,49.44,11,33,7,L,middle-order batsman
MJ Slater (AUS),1993-2001,74,131,7,5312,219,No,42.83,14,21,9,R,opening batsman
Misbah-ul-Haq (PAK),2001-2017,75,132,20,5222,161,Yes,46.62,10,39,9,R,middle-order batsman
RB Richardson (WI),1986-1995,71,124,11,4982,194,No,44.08,12,24,5,R,batsman
MS Dhoni (INDIA),2005-2014,90,144,16,4876,224,No,38.09,6,33,10,R,wicketkeeper batsman
A Flower (ZIM),1992-2002,63,112,19,4794,232,Yes,51.54,12,27,5,L,
NJ Astle (NZ),1996-2006,81,137,10,4702,222,No,37.02,11,24,11,R,opening batsman
Asad Shafiq (PAK),2010-2020,75,125,6,4629,137,No,38.89,12,27,13,R,middle-order batsman
DJ Cullinan (SA),1993-2001,70,115,12,4554,275,Yes,44.21,14,20,10,R,
HP Tillakaratne (SL),1989-2004,83,131,25,4545,204,Yes,42.87,11,20,9,L,batsman
DL Vettori (ICC/NZ),1997-2014,113,174,23,4531,140,No,30.00,6,23,20,L,allrounder
FDM Karunaratne (SL),2012-2020,66,128,5,4524,196,No,36.78,9,24,12,L,opening batsman
Saleem Malik (PAK),1986-1999,76,118,16,4500,237,No,44.11,10,23,9,R,batsman
